,IMUx,IMUy,IMUvx,IMUvy,dt
963,0.08593624381576026,0.3517780911603805,-0.8257978726178408,0.8689279379323125,8.368492126464844e-05
964,0.07511605276071776,0.36326212279413483,-0.8385501122102141,0.889996855519712,7.843971252441406e-05
965,0.062020516676133175,0.37739568903481624,-0.832714170217514,0.89872005302459,7.43865966796875e-05
966,0.05204949695238237,0.3882955082148838,-0.8282466810196638,0.905397773720324,8.440017700195312e-05
967,0.041777398464969195,0.3996738325379605,-0.8236184315755963,0.9123157886788249,6.985664367675781e-05
968,0.03221116663688539,0.41040193988019946,-0.8192854253575206,0.9187924927100539,6.341934204101562e-05
969,0.01990144477564071,0.42437263292266847,-0.7977675125002861,0.9054116057232022,7.009506225585938e-05
970,0.011627372617268872,0.43384302992307466,-0.7830319032073021,0.8962482856586576,6.127357482910156e-05
971,0.00022916452317001124,0.4470523054096722,-0.7621769597753882,0.8832796653732657,7.081031799316406e-05
972,-0.008413142326219925,0.457168299132682,-0.7460219841450453,0.8732337141409516,6.175041198730469e-05
973,-0.019124590951162146,0.4699225774415807,-0.7180519085377455,0.8549948940053582,6.723403930664062e-05
974,-0.027221163275229943,0.47969985821048855,-0.6962477844208479,0.8407767880707979,6.175041198730469e-05
975,-0.036850984612927684,0.491544299149246,-0.6692692320793867,0.8231845237314701,7.963180541992188e-05
976,-0.044964413552068594,0.501694688408147,-0.6457096021622419,0.8078216817229986,6.866455078125e-05
977,-0.05379931555867867,0.5127000222212619,-0.6209783963859081,0.7735314480960369,7.05718994140625e-05
978,-0.06234093059092882,0.5232897417326843,-0.5960689820349216,0.738994125276804,8.368492126464844e-05
979,-0.06934625876915335,0.5319369292483378,-0.5748870279639959,0.7096249889582396,7.128715515136719e-05
980,-0.0752288884831549,0.5391687374586658,-0.5565124806016684,0.6841483693569899,6.246566772460938e-05
981,-0.08438336425381565,0.5499970115312065,-0.532399533316493,0.6297431122511625,7.009506225585938e-05
982,-0.08985309658523022,0.5562987116327474,-0.5175796998664737,0.5963056050240993,6.413459777832031e-05
983,-0.0962749851852247,0.5634415056551956,-0.49955216236412525,0.5556306596845388,6.842613220214844e-05
984,-0.10350820651598691,0.5713211451263847,-0.4681046297773719,0.5099381795153022,9.608268737792969e-05
